Metric,Value
Best Score (QoR),2.0
Improvement (%),0.0
Elapsed Time (s),243.32328820228577

Bit Index,Bit Value
0,0
1,0
2,0
3,0
4,1
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,1
17,0
18,1
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,1
38,1
39,0
40,1
41,0
42,1
43,0
44,0
45,1
46,0
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,1
55,0
56,0
57,1
58,1
59,0
60,0
61,1
62,1
63,1
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,1
78,0
79,1
