Metric,Value
Best Score (QoR),1.0189200158970413
Improvement (%),49.05399920514794
Elapsed Time (s),12027.598776817322

Bit Index,Bit Value
0,1
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,0
23,1
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,1
33,1
34,0
35,0
36,1
37,1
38,1
39,1
40,0
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,0
79,0
