Metric,Value
Best Score (QoR),1.0922909214928562
Improvement (%),45.38545392535719
Elapsed Time (s),10068.826521158218

Bit Index,Bit Value
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,1
15,0
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,1
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,0
39,0
40,1
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,0
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,1
