Metric,Value
Best Score (QoR),1.3505352041937408
Improvement (%),32.47323979031296
Elapsed Time (s),318.7642207145691

Bit Index,Bit Value
0,0
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,0
23,1
24,0
25,1
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,0
34,1
35,1
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,1
44,1
45,1
46,0
47,0
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,0
63,0
64,0
65,0
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,0
77,1
78,0
79,1
