Metric,Value
Best Score (QoR),1.5668349271845434
Improvement (%),21.658253640772827
Elapsed Time (s),8096.00103354454

Bit Index,Bit Value
0,1
1,0
2,1
3,1
4,1
5,1
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,1
26,1
27,1
28,0
29,0
30,1
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,1
44,0
45,0
46,1
47,0
48,1
49,1
50,1
51,1
52,0
53,1
54,0
55,1
56,1
57,1
58,1
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,0
68,1
69,1
70,1
71,0
72,1
73,0
74,0
75,1
76,1
77,0
78,1
79,0
