Metric,Value
Best Score (QoR),1.4679942015716791
Improvement (%),26.600289921416042
Elapsed Time (s),397.737845659256

Bit Index,Bit Value
0,0
1,0
2,1
3,1
4,1
5,0
6,1
7,0
8,0
9,1
10,0
11,1
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,0
24,0
25,1
26,0
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,0
36,1
37,1
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,1
46,0
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,0
