Metric,Value
Best Score (QoR),2.0
Improvement (%),0.0
Elapsed Time (s),922.5276899337769

Bit Index,Bit Value
0,1
1,1
2,1
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,1
14,1
15,1
16,1
17,0
18,0
19,1
20,0
21,1
22,1
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,1
41,0
42,1
43,1
44,1
45,1
46,0
47,0
48,1
49,1
50,1
51,1
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,1
