Metric,Value
Best Score (QoR),1.8127387667191293
Improvement (%),9.363061664043537
Elapsed Time (s),25135.23693037033

Bit Index,Bit Value
0,1
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,0
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,0
26,0
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,0
49,1
50,1
51,1
52,0
53,1
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,0
