Metric,Value
Best Score (QoR),1.8181957926400023
Improvement (%),9.090210367999884
Elapsed Time (s),22987.893823862076

Bit Index,Bit Value
0,1
1,0
2,1
3,0
4,0
5,1
6,0
7,0
8,1
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,0
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,1
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,1
