Metric,Value
Best Score (QoR),1.3659792196377563
Improvement (%),31.701039018112187
Elapsed Time (s),1110.084932565689

Bit Index,Bit Value
0,0
1,1
2,1
3,1
4,0
5,1
6,0
7,0
8,1
9,1
10,1
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,0
23,1
24,0
25,1
26,0
27,0
28,1
29,1
30,0
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,0
53,0
54,0
55,1
56,0
57,0
58,1
59,0
60,0
61,0
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,0
73,0
74,0
75,1
76,1
77,1
78,1
79,1
