Metric,Value
Best Score (QoR),1.92629527739569
Improvement (%),3.685236130215497
Elapsed Time (s),4595.961076259613

Bit Index,Bit Value
0,0
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,1
30,1
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,1
44,0
45,1
46,0
47,0
48,0
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,0
58,1
59,1
60,0
61,0
62,1
63,0
64,0
65,0
66,1
67,1
68,0
69,0
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,1
78,1
79,0
