Metric,Value
Best Score (QoR),1.9349686688063579
Improvement (%),3.2515665596821064
Elapsed Time (s),4307.237438440323

Bit Index,Bit Value
0,1
1,1
2,1
3,1
4,0
5,1
6,0
7,1
8,1
9,1
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,1
48,0
49,1
50,0
51,1
52,1
53,1
54,0
55,0
56,1
57,0
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,0
72,1
73,0
74,1
75,1
76,1
77,1
78,1
79,0
