Metric,Value
Best Score (QoR),1.6886993603411513
Improvement (%),15.565031982942434
Elapsed Time (s),21720.62173819542

Bit Index,Bit Value
0,1
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,0
21,0
22,0
23,1
24,0
25,1
26,1
27,0
28,0
29,1
30,0
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,0
39,1
40,0
41,1
42,1
43,0
44,0
45,1
46,1
47,1
48,0
49,0
50,0
51,1
52,1
53,0
54,0
55,1
56,0
57,1
58,0
59,0
60,1
61,0
62,0
63,1
64,1
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,1
