Metric,Value
Best Score (QoR),1.6874361956451507
Improvement (%),15.628190217742466
Elapsed Time (s),20750.525361061096

Bit Index,Bit Value
0,0
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,0
14,0
15,1
16,0
17,1
18,1
19,1
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,1
43,0
44,1
45,1
46,1
47,1
48,0
49,1
50,0
51,1
52,1
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,1
63,1
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,0
