Metric,Value
Best Score (QoR),1.230632911392405
Improvement (%),38.46835443037975
Elapsed Time (s),11060.737953186035

Bit Index,Bit Value
0,1
1,1
2,1
3,1
4,1
5,1
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,0
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,1
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,1
43,1
44,0
45,0
46,1
47,1
48,1
49,0
50,1
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,0
75,0
76,1
77,1
78,1
79,0
