Metric,Value
Best Score (QoR),1.5925236207792706
Improvement (%),20.37381896103647
Elapsed Time (s),15826.880244493484

Bit Index,Bit Value
0,0
1,0
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,1
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,0
33,1
34,0
35,0
36,1
37,0
38,1
39,0
40,1
41,1
42,1
43,0
44,1
45,0
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,1
57,1
58,1
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,1
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,0
78,0
79,0
