Metric,Value
Best Score (QoR),1.2250632911392405
Improvement (%),38.74683544303797
Elapsed Time (s),11959.607339143753

Bit Index,Bit Value
0,0
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,1
33,1
34,0
35,1
36,1
37,0
38,1
39,0
40,1
41,0
42,0
43,0
44,1
45,0
46,0
47,0
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,1
71,0
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,0
